global_key,split,gt_species,predicted_species,confidence,labelbox_url
comb_DJI_20241107104232_0034_V_1952zoom.JPG,,hieronyma alchorneoides,fridericia candicans,0.899370,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xq2lb58js0623bzmrjhvd
comb_DJI_20250822084810_0009_V_3029zoom.JPG,train,pseudobombax septenatum,ceiba pentandra,0.894280,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cmgtyszjsgyhn0716fdf0vrpn
comb_DJI_20250814130116_0019_V_4436zoom.JPG,train,luehea seemannii,doliocarpus major,0.894200,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cmeybolo2hibf0712ihk3ryg9
comb_DJI_20250106100254_0024_V_4143zoom.JPG,train,luehea seemannii,uncaria tomentosa,0.893480,https://app.labelbox.com/projects/cm66wsv5u05pl070g92gt9vfv/data-rows/cm60yb5uc4xvv07228p919a01
comb_DJI_20241231102525_0010_V_4752zoom.JPG,valid,pouteria reticulata,pouteria stipitata,0.889150,https://app.labelbox.com/projects/cm66wsv5u05pl070g92gt9vfv/data-rows/cm60yb5c44xsn0722zk33ceuf
comb_DJI_20241218124844_0004_V_2132zoom.JPG,train,trichilia tuberculata,protium stevensonii,0.883550,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cmexsetp556ct07330nw354sx
comb_DJI_20250814120836_0011_V_6695zoom.JPG,train,fridericia candicans,anacardium excelsum,0.882370,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cmeybole7hi9e0712tnyj8aq4
comb_DJI_20250716131312_0008_V_70zoom.JPG,train,ochroma pyramidale,pourouma bicolor,0.878200,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cme9ealc32xec07012c3foerp
comb_DJI_20241226095120_0026_V_3415zoom.JPG,test,anacardium excelsum,fridericia candicans,0.874840,https://app.labelbox.com/projects/cm66wsv5u05pl070g92gt9vfv/data-rows/cm60y9bkb4xac0733qwgp43a3
comb_DJI_20250911104901_0025_V_3443zoom.JPG,train,pouteria stipitata,fridericia candicans,0.872720,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cmgtjs6domtkc0782tbi92oil
comb_DJI_20241101103715_0048_V_650zoom.JPG,,calophyllum longifolium,terminalia amazonia,0.872640,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xohar4x340733qog6dizu
comb_DJI_20251006114636_0019_V_1260zoom.JPG,train,zanthoxylum ekmanii,uncaria tomentosa,0.865420,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cmgtqrp6agwrc0716xkqpq791
comb_DJI_20241101093929_0040_V_885zoom.JPG,,anacardium excelsum,fridericia candicans,0.864140,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xoh384x120733okbm8bdg
comb_DJI_20240911144902_0002_V_1507zoom.JPG,train,apeiba membranacea,luehea seemannii,0.860270,https://app.labelbox.com/projects/cm66wsv5u05pl070g92gt9vfv/data-rows/cm60xg5ch4lz90760orgg1p79
comb_DJI_20250723104031_0013_V_6184zoom.JPG,train,pourouma bicolor,cecropia insignis,0.852030,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cme9aet212wsh0704pec51klw
comb_DJI_20240912093538_0064_V_2887zoom.JPG,,pochota fendleri,ceiba pentandra,0.849550,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xifk04zhw07272mk0grox
comb_DJI_20250723123724_0013_V_7315zoom.JPG,train,uncaria tomentosa,hura crepitans,0.846590,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cme9aet9n2wup07044iweudav
comb_DJI_20241127094919_0016_V_2245zoom.JPG,,tabebuia rosea,handroanthus guayacan,0.839540,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xy9dg0sjz0719pf2xxfvn
comb_DJI_20251010125040_0001_V_6868zoom.JPG,valid,terminalia oblonga,terminalia amazonia,0.834270,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cmgsjyht562vx0766kijzclbk
comb_DJI_20250821165957_0017_V_3771zoom.JPG,train,hura crepitans,davilla nitida,0.831740,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cmgtyszg3gygy0716ew1l1fec
comb_DJI_20241024125603_0020_V_1575zoom.JPG,,aspidosperma desmanthum,ocotea leptobotra,0.823910,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xn4t44x0d0733c38fq1o1
comb_DJI_20250723113054_0031_V_8049zoom.JPG,valid,davilla kunthii,hiraea grandifolia,0.818460,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cme9aet672wtp0704stxy3oze
comb_DJI_20250304074807_0014_V_6215zoom.JPG,train,fridericia patellifera,anacardium excelsum,0.811070,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cmbgnqgp5b8xg0742zxq29aiz
comb_DJI_20250206093203_0038_V_895zoom.JPG,,fridericia candicans,prioria copaifera,0.810150,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cmd3o87zr9n1y0763lfb9n0lu
comb_DJI_20241101100344_0028_V_1184zoom.JPG,,spondias mombin,spondias radlkoferi,0.809200,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xoh6i4x1y0733703cid9s
comb_DJI_20241226111239_0012_V_1272zoom.JPG,train,ceiba pentandra,pseudobombax septenatum,0.809150,https://app.labelbox.com/projects/cm66wsv5u05pl070g92gt9vfv/data-rows/cm60y9br94xbv0733qsz58ryj
